statsborgerskab	køn	alder	oprindelsesland	2006	2007	2008	2009	2010	2011	2012	2013
Dansk	Mænd	10-19 år	Sovjetunionen	43	43	40	39	43	40	39	30
Dansk	Mænd	10-19 år	Spanien	16	15	10	10	10	10	11	15
Dansk	Mænd	10-19 år	Storbritannien	93	97	94	93	95	91	83	81
Dansk	Mænd	10-19 år	Sverige	110	111	97	99	97	97	101	99
Dansk	Mænd	10-19 år	Tjekkiet	1	1	1	1	1	1	1	1
Dansk	Mænd	10-19 år	Tjekkoslovakiet	15	15	15	17	17	18	16	15
Dansk	Mænd	10-19 år	Tyrkiet	3094	3228	3345	3455	3491	3558	3541	3466
Dansk	Mænd	10-19 år	DDR	0	0	0	0	0	0	0	0
Dansk	Mænd	10-19 år	Tyskland	146	152	140	152	166	161	171	178
Dansk	Mænd	10-19 år	Ukraine	27	29	31	33	42	47	46	50
Dansk	Mænd	10-19 år	Ungarn	24	25	16	8	6	5	6	7
Dansk	Mænd	10-19 år	Vatikanstaten	0	0	0	0	0	0	0	0
Dansk	Mænd	10-19 år	Østrig	5	7	11	13	14	15	17	19
Dansk	Mænd	10-19 år	Europa uoplyst	0	0	0	0	0	0	0	0
Dansk	Mænd	10-19 år	Algeriet	80	79	74	75	83	80	85	91
Dansk	Mænd	10-19 år	Angola	1	1	1	1	3	3	4	4
Dansk	Mænd	10-19 år	Benin	3	3	3	3	4	4	4	3
Dansk	Mænd	10-19 år	Botswana	1	2	2	2	2	2	2	2
Dansk	Mænd	10-19 år	Burkina Faso	0	0	0	0	0	0	1	3
Dansk	Mænd	10-19 år	Burundi	22	24	24	25	24	25	28	29
Dansk	Mænd	10-19 år	Cameroun	1	2	2	2	5	6	7	10
Dansk	Mænd	10-19 år	Centralafrikanske Republik	0	0	0	0	0	0	0	0
Dansk	Mænd	10-19 år	Comorerne	3	3	4	3	4	4	4	3
Dansk	Mænd	10-19 år	Congo, Demokratiske Republik	8	6	5	9	11	12	17	17
Dansk	Mænd	10-19 år	Congo, Republikken	1	3	7	11	12	13	15	16
Dansk	Mænd	10-19 år	Djibouti	3	3	3	4	4	6	9	9
Dansk	Mænd	10-19 år	Egypten	96	96	92	89	97	95	93	95
Dansk	Mænd	10-19 år	Elfenbenskysten	16	15	15	15	14	14	10	11
Dansk	Mænd	10-19 år	Eritrea	15	20	23	24	27	28	29	31
Dansk	Mænd	10-19 år	Etiopien	91	98	108	110	120	116	113	112
Dansk	Mænd	10-19 år	Gabon	0	0	0	0	0	0	0	0
Dansk	Mænd	10-19 år	Gambia	33	32	36	37	38	42	46	46
Dansk	Mænd	10-19 år	Ghana	33	36	45	47	52	57	60	61
Dansk	Mænd	10-19 år	Guinea	2	2	2	4	4	4	4	5
Dansk	Mænd	10-19 år	Guinea-Bissau	1	1	1	0	0	0	0	0
Dansk	Mænd	10-19 år	Kap Verde	0	0	0	0	0	0	0	0
Dansk	Mænd	10-19 år	Kenya	27	25	26	27	22	25	29	29
Dansk	Mænd	10-19 år	Lesotho	0	0	0	1	1	1	1	1
Dansk	Mænd	10-19 år	Liberia	1	1	0	0	0	0	1	2
Dansk	Mænd	10-19 år	Libyen	12	14	19	22	28	33	34	37
Dansk	Mænd	10-19 år	Madagaskar	0	0	0	0	1	1	1	1
Dansk	Mænd	10-19 år	Malawi	0	0	1	1	1	1	1	1
Dansk	Mænd	10-19 år	Mali	1	0	0	0	0	0	0	0
Dansk	Mænd	10-19 år	Marokko	655	683	713	743	792	787	806	824
Dansk	Mænd	10-19 år	Mauretanien	2	2	2	2	3	5	4	4
Dansk	Mænd	10-19 år	Mauritius	7	7	7	7	8	6	6	4
Dansk	Mænd	10-19 år	Mozambique	1	1	0	0	0	2	2	3
Dansk	Mænd	10-19 år	Namibia	0	0	0	0	2	4	2	2
Dansk	Mænd	10-19 år	Niger	0	0	0	1	1	1	1	1
Dansk	Mænd	10-19 år	Nigeria	14	15	15	15	16	18	19	22
Dansk	Mænd	10-19 år	Reunion	0	0	0	0	0	0	0	0
Dansk	Mænd	10-19 år	Rwanda	3	4	4	6	10	8	13	15
Dansk	Mænd	10-19 år	Sao Tome og Principe	0	0	0	0	0	0	0	0
Dansk	Mænd	10-19 år	Senegal	1	2	3	4	6	6	7	8
Dansk	Mænd	10-19 år	Seychellerne	0	0	0	0	0	0	0	0
Dansk	Mænd	10-19 år	Sierra Leone	10	11	12	13	17	15	15	15
Dansk	Mænd	10-19 år	Somalia	647	720	775	865	953	1052	1166	1340
Dansk	Mænd	10-19 år	Spanske besiddelser i Afrika	0	0	0	0	0	0	0	0
Dansk	Mænd	10-19 år	Skt. Helena	0	0	0	0	0	0	0	0
Dansk	Mænd	10-19 år	Sudan	13	16	16	20	17	12	10	12
Dansk	Mænd	10-19 år	Eswantini	1	0	1	1	0	0	0	0
Dansk	Mænd	10-19 år	Sydafrika	12	13	11	12	14	16	14	13
Dansk	Mænd	10-19 år	Sydsudan	0	0	0	0	0	0	0	0
Dansk	Mænd	10-19 år	Sydvestafrika	0	0	0	0	0	0	0	0
Dansk	Mænd	10-19 år	Tanzania	21	18	19	17	16	17	20	23
Dansk	Mænd	10-19 år	Tchad	0	0	0	0	0	0	0	0
Dansk	Mænd	10-19 år	Togo	9	11	11	11	9	9	7	7
Dansk	Mænd	10-19 år	Tunesien	61	71	77	83	87	86	93	96
Dansk	Mænd	10-19 år	Uganda	74	63	63	62	54	48	46	44
Dansk	Mænd	10-19 år	Zambia	11	9	8	9	10	7	7	6
Dansk	Mænd	10-19 år	Zimbabwe	4	4	2	2	1	2	1	1
Dansk	Mænd	10-19 år	Ækvatorialguinea	0	0	0	0	0	0	0	0
Dansk	Mænd	10-19 år	Afrika uoplyst	3	3	3	2	1	1	0	0
Dansk	Mænd	10-19 år	Canada	31	28	26	26	21	18	20	20
Dansk	Mænd	10-19 år	USA	42	42	42	40	39	44	42	44
