unit	ownership	district	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021
Total square meters occupied dwellings	Owner-occupied	Polling area - 9. Nord	69864.0	64843.0	63414.0	62026.0	62484.0	66717.0	70346.0	70321.0	70203.0	71960.0	72538.0	71708.0	71214.0	71520.0	70717.0	69975.0	73608.0	72141.0	70798.0	67400.0	66069.0	66037.0	64474.0	67897.0	66134.0	70506.0	72216.0	74298.0	77405.0	76444.0	76604.0
Total square meters occupied dwellings	Owner-occupied	Polling area - 9. Syd	66156.0	67451.0	67648.0	72524.0	72974.0	71512.0	74476.0	72183.0	74573.0	76266.0	76915.0	79044.0	78431.0	80948.0	80040.0	79715.0	81137.0	79447.0	79170.0	75978.0	75250.0	77119.0	76110.0	75566.0	75957.0	77457.0	77806.0	79906.0	81376.0	81965.0	84219.0
Total square meters occupied dwellings	Owner-occupied	Polling area - 9. Øst	53124.0	47838.0	47152.0	47139.0	41485.0	43844.0	43705.0	43969.0	45667.0	45485.0	45963.0	46688.0	44544.0	46010.0	43809.0	46964.0	48325.0	49087.0	51310.0	47624.0	47088.0	45041.0	46906.0	48421.0	49145.0	52020.0	54829.0	60217.0	62096.0	63828.0	66990.0
Total square meters occupied dwellings	Owner-occupied	Polling area - 9. Vest	39297.0	40327.0	40545.0	42980.0	41626.0	38917.0	36069.0	38984.0	39876.0	38398.0	41729.0	40658.0	40248.0	39513.0	42311.0	41009.0	40883.0	42021.0	39305.0	38168.0	38453.0	38176.0	37387.0	37574.0	37764.0	38283.0	111812.0	112695.0	70802.0	83899.0	101659.0
Total square meters occupied dwellings	Owner-occupied	Polling area - 9. Midt	11465.0	11769.0	11638.0	10995.0	11351.0	13629.0	14000.0	14768.0	14086.0	13344.0	13883.0	13727.0	13921.0	13833.0	14233.0	14616.0	14124.0	13161.0	12337.0	11983.0	11881.0	11639.0	10792.0	10650.0	10161.0	11003.0	12797.0	11930.0	11963.0	12710.0	13330.0
Total square meters occupied dwellings	Owner-occupied	Polling area - 9. Sydhavn	207.0	79.0	79.0	154.0	76.0	0.0	0.0	79.0	79.0	79.0	176.0	0.0	0.0	0.0	10463.0	10066.0	34554.0	51616.0	104883.0	122197.0	106008.0	110320.0	111129.0	111166.0	125890.0	157307.0	175368.0	193624.0	262996.0	276019.0	295062.0
Total square meters occupied dwellings	Private rental	Copenhagen total	6796779.0	6641291.0	6690837.0	6514687.0	6455214.0	7456549.0	6540871.0	6327735.0	5958993.0	5794678.0	5667966.0	5457552.0	5363563.0	5200375.0	5152530.0	5133748.0	5174941.0	5327292.0	5457216.0	5550693.0	5731711.0	5855782.0	5895596.0	5983625.0	6072804.0	6031347.0	6182019.0	6382689.0	6605705.0	6977570.0	7143184.0
Total square meters occupied dwellings	Private rental	District - Indre By	1211717.0	1219447.0	1226892.0	1197374.0	1185626.0	1216763.0	1174625.0	1159064.0	1136542.0	1117775.0	1114701.0	1088608.0	1078248.0	1072911.0	1067151.0	1042452.0	1044592.0	1051351.0	1060568.0	1085586.0	1107172.0	1166812.0	1195888.0	1214211.0	1245900.0	1258684.0	1264661.0	1270908.0	1272808.0	1293665.0	1271533.0
Total square meters occupied dwellings	Private rental	District - Østerbro	1262792.0	1236284.0	1232188.0	1187517.0	1190698.0	1289392.0	1209228.0	1182185.0	1132993.0	1120462.0	1084075.0	1091125.0	1072872.0	1033507.0	1014187.0	1003626.0	1008521.0	1005513.0	1017467.0	999459.0	1013832.0	1023025.0	1029731.0	1018093.0	1016035.0	1011861.0	1049905.0	1075262.0	1044623.0	1069957.0	1080313.0
Total square meters occupied dwellings	Private rental	District - Nørrebro	864984.0	859487.0	849888.0	848844.0	816224.0	1059145.0	855335.0	842109.0	781428.0	769705.0	763505.0	738203.0	726447.0	716488.0	700520.0	661021.0	667356.0	658869.0	718527.0	689318.0	750593.0	708349.0	711698.0	705137.0	720069.0	694017.0	677734.0	665014.0	667470.0	689176.0	707955.0
